Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
5/4/2020,"1,120",48,126,57,218,223,243,177,109,53,40,0,556,544,20,517,24,175,99,46,259,0,1,0,0,4,10,15,18,0,23,25,0,17,2,20,9,0,0,1,10,8,13,15,27,31,21,0,53,72,1,40,7,48,17,9,5
5/25/2020,252,23,79,7,34,35,41,43,49,26,17,0,123,126,3,76,6,67,40,3,60,0,0,1,0,4,4,7,7,0,11,12,0,5,0,10,7,1,0,2,10,4,7,12,18,11,15,0,37,42,0,24,2,35,8,1,9
9/30/2020,448,2,32,47,132,92,53,63,34,17,10,0,227,219,2,145,6,79,107,27,84,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,3,3,2,3,5,7,8,0,16,16,0,10,0,8,12,2,0
9/25/2020,369,3,38,43,96,77,65,45,25,12,6,0,194,172,3,169,10,50,52,11,77,0,0,0,1,1,0,0,1,0,1,2,0,1,0,2,0,0,0,2,7,7,10,2,6,3,1,0,21,17,0,15,0,10,7,2,4
12/12/2020,181,0,,20,30,36,27,31,19,11,7,0,97,84,0,37,9,38,54,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
10/20/2020,"1,177",5,55,155,303,225,196,141,88,47,22,0,595,579,3,459,35,134,257,39,253,0,0,0,0,2,1,1,1,0,2,3,0,1,0,2,2,0,0,1,4,4,4,7,13,14,8,0,28,27,0,16,1,17,17,2,2
11/24/2020,"1,854",16,85,234,424,345,317,247,160,82,44,1,981,864,9,521,35,292,296,102,608,0,0,0,1,1,3,8,3,0,2,14,0,3,0,8,5,0,0,1,2,6,11,16,17,15,17,0,47,38,0,25,2,35,16,1,6
11/22/2020,768,12,81,60,196,161,136,90,73,35,17,0,383,385,0,149,25,116,235,35,208,0,0,0,1,1,3,4,3,0,6,6,0,5,0,3,4,0,0,1,5,9,13,8,18,20,7,0,35,46,0,25,2,32,12,4,6
5/1/2020,"1,168",39,140,58,223,221,204,193,133,68,68,0,615,522,31,536,26,192,108,46,260,0,1,0,1,4,12,8,13,0,14,25,0,12,1,15,10,0,1,0,14,13,16,22,24,31,20,0,75,65,0,48,3,60,22,4,3
7/8/2020,309,4,27,37,100,69,38,32,20,11,2,0,158,150,1,88,8,72,54,12,75,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,2,6,3,0,2,5,5,4,0,14,13,0,10,1,8,5,1,2
